携帯電話の電源を確保し、災害時に（アプリやソーシャルネットワークを含めて）活用できるよう備えている。					,,,,,
やること	,災害備蓄品マニュアル、電源の確保,http://www2d.biglobe.ne.jp/~satok/stock/battery.html,蓄電池や発電機などの長所と短所を整理している。,災害備蓄品マニュアル製作委員会,1
やること	,モバイル電源と発電機の“なう”,http://www.hazardlab.jp/think/news/detail/1/0/103.html,外付け電池とも呼べるモバイル電源やさまざまな自然の力で発電できるグッズを紹介している。,ハザードラボ,
事例	,災害時におけるSNSの活用-toritterのご紹介,https://www.pref.tottori.lg.jp/secure/511570/110902cioforum.pdf,toritterというtwitterの県アカウントを活用した防災情報の共有を行っています。,鳥取県,
