地域／職場で、自助（このテストの設問１～20）を促す取り組みをしている。,,,,,
やること,減災力テスト,http://gensaikyoushitsu.sakura.ne.jp/,紙に印刷可能です。工夫次第でいろいろな用途に活用できます。,一般社団法人Do It Yourself,1
事例,加古川グリーンシティ防災会,http://www.greencity.sakura.ne.jp/greencity_bousaikai/,団地の住民全員で構成された自主防災組織のサイトです。幅広い層が楽しく参加できる防災活動、独自のマップ作成などといった活動をしています。,加古川グリーンシティ防災会,
事例,自主防災組織活性化マニュアル,https://www.city.onomichi.hiroshima.jp/uploaded/attachment/3857.pdf,事例紹介はもちろん、対象者や必要なものも紹介されており、他地域や個人にとっても参考となります。,尾道市,
